frame,time_s,source,rgb_valid,r,g,b,motion_x,motion_y,face_x0,face_y0,face_x1,face_y1,roi_status,roi_valid_regions,forehead_r,forehead_g,forehead_b,forehead_valid,forehead_quality,forehead_valid_pixel_fraction,forehead_visible_fraction,forehead_pixel_count,forehead_valid_pixels,forehead_brightness,forehead_laplacian_var,forehead_status,forehead_rgb_aggregation,left_cheek_r,left_cheek_g,left_cheek_b,left_cheek_valid,left_cheek_quality,left_cheek_valid_pixel_fraction,left_cheek_visible_fraction,left_cheek_pixel_count,left_cheek_valid_pixels,left_cheek_brightness,left_cheek_laplacian_var,left_cheek_status,left_cheek_rgb_aggregation,right_cheek_r,right_cheek_g,right_cheek_b,right_cheek_valid,right_cheek_quality,right_cheek_valid_pixel_fraction,right_cheek_visible_fraction,right_cheek_pixel_count,right_cheek_valid_pixels,right_cheek_brightness,right_cheek_laplacian_var,right_cheek_status,right_cheek_rgb_aggregation,face_detected,flow_available,bridge_age_frames,baseline_forehead_r,baseline_forehead_g,baseline_forehead_b,forehead_pixel_source,forehead_pixel_tracks,forehead_pixel_seeds,forehead_pixel_screen_rejected,forehead_pixel_color_rejected,forehead_pixel_fb_rejected,forehead_pixel_geometry_rejected,forehead_pixel_fb_error_median,forehead_pixel_reset,forehead_pixel_log_delta_r,forehead_pixel_log_delta_g,forehead_pixel_log_delta_b,baseline_left_cheek_r,baseline_left_cheek_g,baseline_left_cheek_b,left_cheek_pixel_source,left_cheek_pixel_tracks,left_cheek_pixel_seeds,left_cheek_pixel_screen_rejected,left_cheek_pixel_color_rejected,left_cheek_pixel_fb_rejected,left_cheek_pixel_geometry_rejected,left_cheek_pixel_fb_error_median,left_cheek_pixel_reset,left_cheek_pixel_log_delta_r,left_cheek_pixel_log_delta_g,left_cheek_pixel_log_delta_b,baseline_right_cheek_r,baseline_right_cheek_g,baseline_right_cheek_b,right_cheek_pixel_source,right_cheek_pixel_tracks,right_cheek_pixel_seeds,right_cheek_pixel_screen_rejected,right_cheek_pixel_color_rejected,right_cheek_pixel_fb_rejected,right_cheek_pixel_geometry_rejected,right_cheek_pixel_fb_error_median,right_cheek_pixel_reset,right_cheek_pixel_log_delta_r,right_cheek_pixel_log_delta_g,right_cheek_pixel_log_delta_b,baseline_r,baseline_g,baseline_b,pixel_mode,pixel_rgb_kind,unanchored_forehead_r,unanchored_forehead_g,unanchored_forehead_b,forehead_unanchored_pixel_source,forehead_anchor_correction_log,unanchored_left_cheek_r,unanchored_left_cheek_g,unanchored_left_cheek_b,left_cheek_unanchored_pixel_source,left_cheek_anchor_correction_log,unanchored_right_cheek_r,unanchored_right_cheek_g,unanchored_right_cheek_b,right_cheek_unanchored_pixel_source,right_cheek_anchor_correction_log,unanchored_r,unanchored_g,unanchored_b,anchor_hz,anchor_order
0,0.0,mesh,True,194.0439677624904,152.89122418194717,146.0519544492836,,,0.4580147194862365,0.253675108551979,0.537868480682373,0.4216200584173202,sampled,3,181.7994110514464,145.53178589987874,140.14169409319246,True,1.0,1.0,1.0,7215,7215,0.6034828953840717,46.5769468221208,sampled,trimmed_mean,192.50698757763976,146.52018633540374,139.53707298136646,True,1.0,1.0,1.0,6438,6438,0.6145740803684009,46.52176488155563,sampled,trimmed_mean,207.82550465838509,166.621700310559,158.47709627329192,True,1.0,1.0,1.0,6438,6438,0.691573893975111,64.25505554543594,sampled,trimmed_mean,True,False,0,181.7994110514464,145.53178589987874,140.14169409319246,baseline_reset,0,0,0,0,0,0,,True,,,,192.50698757763976,146.52018633540374,139.53707298136646,baseline_reset,0,0,0,0,0,0,,True,,,,207.82550465838509,166.621700310559,158.47709627329192,baseline_reset,0,0,0,0,0,0,,True,,,,194.0439677624904,152.89122418194717,146.0519544492836,tracking_screened,anchored_paired_relative_colour,181.7994110514464,145.53178589987874,140.14169409319246,baseline_reset,0.0,192.50698757763976,146.52018633540374,139.53707298136646,baseline_reset,0.0,207.82550465838509,166.621700310559,158.47709627329192,baseline_reset,0.0,194.0439677624904,152.89122418194717,146.0519544492836,0.15,4
1,0.0333332999999999,mesh,True,194.38481696347117,153.2527846795929,146.46327609069826,0.0002897615785951,-0.0003628461449234,0.4583920401334762,0.2533638370037079,0.534504908323288,0.4167136830091476,sampled,3,182.746650393527,146.16760364600563,140.27162002279488,True,1.0,1.0,1.0,6720,6720,0.6056165814659197,48.06592069173673,sampled,trimmed_mean,192.85461190871607,146.41204334757975,140.78761740901913,True,1.0,1.0,1.0,6035,6035,0.6247857231509008,55.98786329817197,sampled,trimmed_mean,207.5531885881703,167.1787070451934,158.33059084028076,True,1.0,1.0,1.0,5950,5950,0.6831224017136267,70.40068927585124,sampled,trimmed_mean,True,True,0,182.67578125,146.00055803571428,141.31603422619048,tracked_ratio,20,21,1,0,0,0,0.0141593422740697,False,0.0051968273874625,0.0043594109937124,0.0009266741025949,194.4901635949472,149.20894595154277,143.0016566576931,tracked_ratio,19,20,1,0,0,0,0.0021774939959868,False,0.0018041461874778,-0.0007383493093552,0.0089221723129812,207.29495798319329,164.28529411764706,157.15357142857144,tracked_ratio,19,20,1,0,0,0,0.0031512837158516,False,-0.0013111702576093,0.0033373681378199,-0.0009248852242351,194.8203009427135,153.1649327016347,147.157087437485,tracking_screened,anchored_paired_relative_colour,182.7466503976703,146.16760365577514,140.27161996197378,tracked_ratio,4.3930199537780365e-10,192.85461181351928,146.4120431856393,140.78761728061292,tracked_ratio,1.5162038499772515e-09,207.5531886032735,167.17870721579754,158.3305909093358,tracked_ratio,1.1121675770471582e-09,194.3848169381544,153.25278468573734,146.46327605064084,0.15,4
2,0.0666665999999999,mesh,True,194.38023096324207,153.48534532812985,146.7161792718624,0.0002374401798954,-0.0002408750631191,0.4588579773902893,0.2531152349710465,0.5340763390064239,0.4180361223220825,sampled,3,182.9494605214726,146.45715697816954,141.5103443982184,True,1.0,1.0,1.0,6656,6656,0.6069722096530921,47.83842628365231,sampled,trimmed_mean,193.06166255576352,146.85907092411128,140.6302364818976,True,0.999494438827098,0.999494438827098,1.0,5934,5931,0.6247362801271502,53.54563292434521,sampled,trimmed_mean,207.12956981249013,167.13980808210871,158.00795693547116,True,1.0,1.0,1.0,5934,5934,0.6818496005075437,63.6878938324685,sampled,trimmed_mean,True,True,0,182.86800600826132,146.35561396920767,141.83364626361248,tracked_ratio,21,21,0,0,0,0,0.004108696244657,False,0.0011091733060459,0.0019790088824487,0.0087921305834382,194.69673340358275,149.02423603793466,142.18714436248683,tracked_ratio,19,20,1,0,0,0,0.0028095734305679,False,0.0010730302222486,0.0030485557803012,-0.0011184928014489,207.02337826453245,163.78559393428813,157.04886267902273,tracked_ratio,17,20,3,0,0,0,0.0018845747108571,False,-0.0020430982666372,-0.0002326977617996,-0.0020397987246677,194.8627058921255,153.05514798047682,147.02321776837402,tracking_screened,anchored_paired_relative_colour,182.9494605590768,146.45715706161482,141.5103438935139,tracked_ratio,3.6176230216597565e-09,193.06166170602495,146.85906951233432,140.6302353758226,tracked_ratio,1.317744015783818e-08,207.129569938041,167.13980963067388,158.00795753736054,tracked_ratio,1.0035913083191731e-08,194.3802307343809,153.48534540154105,146.7161789355657,0.15,4
3,0.0999998999999999,mesh,True,194.34026434914813,153.54765678903914,146.67874254431146,0.0001612716250949,-0.0001561066618672,0.4590336823463439,0.2532389104366302,0.534379358291626,0.4177251511812209,sampled,3,182.48738673326588,146.67417168424268,141.16924519641037,True,1.0,1.0,1.0,6656,6656,0.6077934736755278,48.149098820649,sampled,trimmed_mean,193.18585509430187,146.70730736335662,140.92842648592125,True,1.0,1.0,1.0,5950,5950,0.6245870924369749,52.19231168221125,sampled,trimmed_mean,207.34755121987664,167.26149131951811,157.93855595060276,True,1.0,1.0,1.0,5865,5865,0.6829250823261955,61.633672918832175,sampled,trimmed_mean,True,True,0,182.8360871197897,146.74802853924146,141.57209913631243,tracked_ratio,18,18,0,0,0,0,0.0023976236116141,False,-0.0025288852435422,0.0014806674688228,-0.0024133397999984,194.5876050420168,149.09642857142856,142.59327731092438,tracked_ratio,19,20,1,0,0,0,0.0021903240121901,False,0.0006430569586412,-0.0010339628997734,0.0021181120217869,207.411463882378,164.0658427445131,157.06541657788196,tracked_ratio,19,20,1,0,0,0,0.0026580912526696,False,0.0010518400545607,0.0007278009127775,-0.0004393081390704,194.94505201472816,153.30343328506103,147.0769310083729,tracking_screened,anchored_paired_relative_colour,182.4873868798661,146.6741720335086,141.16924311008594,tracked_ratio,1.4991036838833063e-08,193.18585127723625,146.70730115790826,140.92842165248567,tracked_ratio,5.792947135388844e-08,207.3475517370821,167.26149841391685,157.9385586004515,tracked_ratio,4.568092889329306e-08,194.34026329806147,153.54765720177787,146.67874112100773,0.15,4
4,0.1333331999999999,mesh,True,194.3330795237652,153.83268747575377,146.37551621833174,0.0001251467952021,-0.0001003198049686,0.4589846229553223,0.2535967183113098,0.5345182073116302,0.4174362117052078,sampled,3,182.24766364203288,146.68337927991064,141.19946785598046,True,1.0,1.0,1.0,6552,6552,0.6075201716584069,46.17839728794159,sampled,trimmed_mean,193.2124652398206,147.53887792791147,140.1829022511674,True,0.9998319327731092,0.9998319327731092,1.0,5950,5949,0.6249948947108255,54.61193880434477,sampled,trimmed_mean,207.53910968944209,167.2758052194392,157.7441785478474,True,1.0,1.0,1.0,5950,5950,0.6830537617399901,60.84292744394321,sampled,trimmed_mean,True,True,0,183.07020221289585,146.4654711942007,141.95345288057993,tracked_ratio,21,21,0,0,0,0,0.001954614650458,False,-0.0013145047762832,6.277827798387229e-05,0.0002140374821277,194.4868725057761,149.3026675068263,142.34887628649443,tracked_ratio,20,20,0,0,0,0,0.0014296555309556,False,0.0001376930939955,0.0056521384355303,-0.0053042026964217,207.31491596638656,164.28823529411764,156.81071428571428,tracked_ratio,20,20,0,0,0,0,0.0019331359653733,False,0.000923430130641,8.56653305512808e-05,-0.001231439098067,194.95733022835284,153.35212466504822,147.03768115092956,tracking_screened,anchored_paired_relative_colour,182.24766393120012,146.6833802744893,141.1994618532916,tracked_ratio,4.30786783492069e-08,193.2124534662416,147.53885895967153,140.18288771784594,tracked_ratio,1.760405606452211e-07,207.5391111461236,167.27582753921283,157.74418658750955,tracked_ratio,1.430058251233334e-07,194.33307618118843,153.8326889244579,146.37551205288236,0.15,4
5,0.1666665,mesh,True,194.0080466571067,153.53184877475113,146.68381366890776,4.46496186433015e-05,-5.309173354396114e-05,0.459016814827919,0.2537918889522552,0.5346365582942963,0.4172310006618498,sampled,3,181.4425836333415,146.13828667266588,141.70124860792225,True,1.0,1.0,1.0,6720,6720,0.6068649165499533,46.33888013996543,sampled,trimmed_mean,193.11406416808117,147.45320914180542,140.23162030390048,True,1.0,1.0,1.0,5865,5865,0.6244866910719957,51.12427718374238,sampled,trimmed_mean,207.46749216989744,167.00405050978213,158.1185720949005,True,1.0,1.0,1.0,5950,5950,0.6827428162794529,63.5536402761987,sampled,trimmed_mean,True,True,0,182.6462053571429,146.43247767857142,142.06082589285714,tracked_ratio,19,21,2,0,0,0,0.0011926284059882,False,-0.0044272924695299,-0.0037230305313255,0.0035473466255786,194.4268058810995,149.10227999147668,141.82889409759215,tracked_ratio,20,20,0,0,0,0,0.0008927259477786,False,-0.0005095062743341,-0.0005810013024322,0.000347326036602,207.3741596638656,164.01302521008404,156.9142857142857,tracked_ratio,20,20,0,0,0,0,0.0015804132563062,False,-0.0003451304896384,-0.0016257148832818,0.0023706818421703,194.815723634036,153.18259429337738,146.934668568245,tracking_screened,anchored_paired_relative_colour,181.4425836989385,146.13828889683387,141.70123474283514,tracked_ratio,9.90245736414045e-08,193.11403558331455,147.45316358742866,140.2315853411231,tracked_ratio,4.236932515612678e-07,207.46749543016907,167.0041056677599,158.11859148846025,tracked_ratio,3.526681560522901e-07,194.00803823747404,153.5318527173408,146.68380385747284,0.15,4
6,0.1999997999999999,mesh,True,193.93765258680352,153.8038630083175,146.6464707793189,-6.453196207682292e-05,-3.9529800415039065e-05,0.4591926163434982,0.2535899883508682,0.5348435306549072,0.4170957100391387,sampled,3,181.4264782768143,146.57161231448762,140.9322709462295,True,1.0,1.0,1.0,6552,6552,0.6070952416864182,45.32504361948704,sampled,trimmed_mean,193.0799914480926,147.48953346026113,141.09644319526782,True,1.0,1.0,1.0,5880,5880,0.6225955322128851,50.34757626031026,sampled,trimmed_mean,207.3064880355037,167.3504432502037,157.91069819645944,True,1.0,1.0,1.0,5880,5880,0.6850967246898759,63.93858502118377,sampled,trimmed_mean,True,True,0,182.418351774132,146.75887066005342,141.69572682182374,tracked_ratio,21,21,0,0,0,0,0.0010377098806202,False,-8.877587821195474e-05,0.0029608015672558,-0.0054416278404457,194.1373299319728,148.6449829931973,141.72682823129253,tracked_ratio,20,20,0,0,0,0,0.0018599267350509,False,-0.0001766116145658,0.0002459910105132,0.0061479005269676,207.5435799319728,164.7591411564626,157.7578656462585,tracked_ratio,19,20,0,0,1,0,0.000686315994244,False,-0.0007763317540147,0.0020723732891208,-0.0013154062917355,194.6997538793592,153.3876649365711,147.06014023312494,tracking_screened,anchored_paired_relative_colour,181.4264766891932,146.57161655368017,140.93224353837564,tracked_ratio,1.9680891736624258e-07,193.0799324132915,147.48944020182049,141.09637076207872,tracked_ratio,8.699617718177845e-07,207.3064943287606,167.35055938223738,157.9107380342173,tracked_ratio,7.390037035272624e-07,193.9376344770818,153.8038720459127,146.64645077822388,0.15,4
7,0.2333331,mesh,True,194.5768083304592,153.83770583822815,146.74457233834303,-0.0001355012257893,-3.170404169294569e-05,0.4592974418401718,0.2533358544111251,0.5345655608177184,0.4172490102052688,sampled,3,182.2984924914149,146.3512119856212,141.66066321903375,True,1.0,1.0,1.0,6656,6656,0.607352315469457,45.71672118595389,sampled,trimmed_mean,193.721305149956,147.77017081191852,141.05672517305592,True,1.0,1.0,1.0,5950,5950,0.6217944583951228,45.19065660940749,sampled,trimmed_mean,207.7106273500067,167.39173471714483,157.51632862293943,True,1.0,1.0,1.0,5865,5865,0.6854750326797385,66.9817081345955,sampled,trimmed_mean,True,True,0,182.8473526098385,146.5028163725122,142.5390536988359,tracked_ratio,19,21,2,0,0,0,0.0008475155336782,False,0.0047948916706647,-0.0015048164305937,0.0051549206876494,194.06554621848736,148.45252100840335,141.27752100840337,tracked_ratio,18,20,2,0,0,0,0.0010503053781576,False,0.0033157316612549,0.0019004325640848,-0.0002819653927585,207.78265501811208,164.83976134668654,157.07713616023867,tracked_ratio,20,20,0,0,0,0,0.0013474685838446,False,0.0019476019506807,0.0002473084171651,-0.0025003342711066,194.89851794881267,153.2650329092007,146.9645702891593,tracking_screened,anchored_paired_relative_colour,182.2984859153004,146.35121904731628,141.66061380870875,tracked_ratio,3.539583208333444e-07,193.72119620015937,147.77000044530982,141.05659207684982,tracked_ratio,1.5924297174778103e-06,207.7106382895389,167.39195170231352,157.51640159602846,tracked_ratio,1.3775753721214802e-06,194.5767734683329,153.83772373164655,146.74453582719568,0.15,4
8,0.2666663999999999,mesh,True,194.42508112602863,153.75299350444334,146.8213032133458,-0.0001566604331687,2.267526255713569e-05,0.459116917848587,0.2534087890386581,0.5345488405227662,0.4173760718107223,sampled,3,182.0073067284436,146.38240271385922,140.95786387906853,True,1.0,1.0,1.0,6656,6656,0.6063719492364255,45.5407413134577,sampled,trimmed_mean,193.7133480011924,147.45228019272906,141.10360464123923,True,1.0,1.0,1.0,5865,5865,0.6223139193955501,45.60917208441144,sampled,trimmed_mean,207.5545886484499,167.42429760674176,158.40244111972962,True,1.0,1.0,1.0,5950,5950,0.6848985150766188,66.47413848133505,sampled,trimmed_mean,True,True,0,182.48103642508448,146.5858054825385,141.64907998497935,tracked_ratio,20,21,1,0,0,0,0.001415699836798,False,-0.0015986386945391,0.0002131238551056,-0.0049737255474883,194.16727040272747,148.48860004261667,141.31152780737267,tracked_ratio,18,20,2,0,0,0,0.0007901958888396,False,-4.146179383258752e-05,-0.0021543422159764,0.0003316441979034,207.56554621848736,164.67289915966387,157.69768907563025,tracked_ratio,19,20,0,0,1,0,0.0008079957333393,False,-0.0007514822854445,0.0001954337983638,0.0056100807267541,194.73795101543317,153.24910156160635,146.88609895599407,tracking_screened,anchored_paired_relative_colour,182.0072893228468,146.38241330732146,140.9577820896576,tracked_ratio,5.925043063741621e-07,193.7131643383704,147.4519959633291,141.1033804353031,tracked_ratio,2.671953689096768e-06,207.55460605943736,167.4246689441735,158.40256472392875,tracked_ratio,2.352698237018596e-06,194.4250199068848,153.75302607160802,146.82124241629649,0.15,4
9,0.2999997,mesh,True,194.26711156118745,153.5892291386144,146.64602619995642,-0.0001567045847574,3.756660002249259e-05,0.4590812778472901,0.2534608244895935,0.5346542465686798,0.4176160073280333,sampled,3,181.80952348468963,145.966495335076,140.9712533548305,True,1.0,1.0,1.0,6615,6615,0.6058425871089176,42.23213657129817,sampled,trimmed_mean,193.3569052991824,147.58745483722106,140.68113461533298,True,1.0,1.0,1.0,5865,5865,0.6212979108369691,48.37318680767587,sampled,trimmed_mean,207.6349058996902,167.21373724354612,158.28569062970575,True,1.0,1.0,1.0,5950,5950,0.685443486571099,62.441067891005005,sampled,trimmed_mean,True,True,0,182.3914604194219,146.4060079350085,141.5359909314189,tracked_ratio,21,21,0,0,0,0,0.000887767819222,False,-0.0010873764704426,-0.0028452560599894,9.465352269685504e-05,193.7869166844236,148.34349030470915,140.92009375665884,tracked_ratio,19,20,1,0,0,0,0.0003701280948007,False,-0.0018422923977563,0.0009152286395672,-0.002999440110328,207.5394957983193,164.85987394957982,157.6947478991597,tracked_ratio,20,20,0,0,0,0,0.0010360442101955,False,0.0003869353274443,-0.0012571076540252,-0.0007368731837436,194.5726243007216,153.20312406309915,146.71694419574578,tracking_screened,anchored_paired_relative_colour,181.80948644157743,145.96650981532665,140.97112487174465,tracked_ratio,9.391640023608632e-07,193.35661658181996,147.58701002794095,140.6807833904155,tracked_ratio,4.188803719573763e-06,207.63493180832836,167.2143303482008,158.2858851160641,tracked_ratio,3.7558411432003216e-06,194.2670116105752,153.58928339715615,146.64593112607477,0.15,4
